age,ent,nent,ratio
24,6,109,0.06
25,30,278,0.11
26,46,347,0.13
27,55,382,0.14
28,45,376,0.12
29,66,410,0.16
30,70,322,0.22
31,89,393,0.23
32,85,411,0.21
33,92,352,0.26
34,86,380,0.23
35,83,340,0.24
36,78,318,0.25
37,98,292,0.34
38,97,262,0.37
39,90,242,0.37
40,79,240,0.33
41,80,235,0.34
42,100,190,0.53
43,108,216,0.5
44,91,250,0.36
45,97,231,0.42
46,97,232,0.42
47,118,249,0.47
48,108,234,0.46
49,94,213,0.44
50,120,200,0.6
51,140,232,0.6
52,132,218,0.61
53,144,239,0.6
54,143,254,0.56
55,155,234,0.66
56,138,234,0.59
57,162,263,0.62
58,133,267,0.5
59,138,209,0.66
60,149,230,0.65
61,122,198,0.62
62,126,233,0.54
63,104,196,0.53
64,112,151,0.74
65,117,151,0.77
66,86,141,0.61
67,112,132,0.85
68,92,134,0.69
69,64,86,0.74
70,61,70,0.87
71,50,72,0.69
72,49,65,0.75
73,37,57,0.65
74,34,49,0.69
75,34,42,0.81
76,32,34,0.94
77,27,26,1.04
78,17,20,0.85
79,19,27,0.7
80,18,29,0.62
81,14,18,0.78
82,13,19,0.68
83,10,22,0.45
84,9,14,0.64
