max_revenue,max_expend,employment,max_capital,typorg
1000000000,400000000,10000,30000000000,Incorporated company
60000000,20000000,600,6000000000,Incorporated company
5000000000,2500000000,425,5000000000,Not reported
500000000,50000000,65,3000000000,Partnership
300000,280000,7,3000000000,Non-profit
50000000,100000000,5,2500000000,Incorporated company
300000000,350000000,,2000000000,Incorporated company
3000000000,,5500,2000000000,Incorporated company
,,70,2000000000,Partnership
,700000000,400,1400000000,Non-profit
120000000,15000000,800,1100000000,Partnership
8000000000,4000000000,2000,1000000000,Incorporated company
3000000000,2700000000,10000,1000000000,Incorporated company
4000000000,2000000000,,1000000000,Incorporated company
1000000000,1000000000,,1000000000,Sole proprietorship
100000000,200000000,500,1000000000,Incorporated company
100000000,100000000,,1000000000,Partnership
110000000,50000000,40,1000000000,Partnership
1000000000,850000000,500,950000000,Incorporated company
20000000,50000000,34,950000000,Incorporated company
770000000,500000000,900,770000000,Incorporated company
900000000,800000000,2000,750000000,Incorporated company
1100000000,750000000,185,750000000,Partnership
70000000,40000000,75,750000000,Partnership
,400000,3,750000000,Incorporated company
550000000,150000000,15,700000000,Incorporated company
1600000000,1400000000,4000,650000000,Incorporated company
1500000000,1000000000,5000,650000000,Partnership
,,40,650000000,Partnership
,1500000,45,630000000,Partnership
400000000,36000000,850,600000000,Incorporated company
400000000,500000000,2000,500000000,Partnership
500000000,480000000,2000,500000000,Incorporated company
200000000,150000000,700,500000000,Incorporated company
100000000,85000000,200,500000000,Incorporated company
500000000,20000000,150,500000000,Partnership
,,8,500000000,Partnership
40000000,35000000,350,450000000,Partnership
90000000,20000000,350,450000000,Incorporated company
400000000,300000000,800,400000000,Incorporated company
250000000,300000000,250,400000000,Incorporated company
500000000,300000000,300,395000000,Not reported
200000000,100000000,,300000000,Partnership
110000000,8000000,38,300000000,Incorporated company
40000000,4000000,2,300000000,Partnership
10000000000,9750000000,12000,250000000,Incorporated company
500000000,200000000,400,250000000,Incorporated company
150000000,110000000,,250000000,Incorporated company
280000000,60000000,900,250000000,Incorporated company
30000000,50000000,100,250000000,Incorporated company
25000000,25000000,900,250000000,Incorporated company
130000000,6000000,60,250000000,Incorporated company
18000000,4000000,22,250000000,Partnership
,,7,250000000,Partnership
300000000,120000000,380,240000000,Partnership
213000000,3668963,,212000000,Non-profit
3000000000,2600000000,,200000000,Incorporated company
1200000000,800000000,2000,200000000,Incorporated company
35000000,310000000,110,200000000,Partnership
300000000,275000000,350,200000000,Incorporated company
150000000,200000000,1300,200000000,Incorporated company
400000000,100000000,1000,200000000,Incorporated company
20000000,100000000,200,200000000,Incorporated company
20000000,100000000,,200000000,Incorporated company
5000000,2000000,5,200000000,Partnership
200000000,,,200000000,Non-profit
235000000,220000000,175,186000000,Non-profit
50000000,40000000,250,180000000,Incorporated company
,125000000,175,175000000,Incorporated company
20000000,125000000,100,160000000,Incorporated company
300000000,300000000,2200,150000000,Incorporated company
125000000,135000000,250,150000000,Incorporated company
5000000,20000000,75,150000000,Incorporated company
20000000,5000000,15,150000000,Partnership
5000000,5000000,15,150000000,Partnership
6000000,4000000,8,150000000,Partnership
2500000,2500000,6,150000000,Partnership
,,60,150000000,Incorporated company
50000000,40000000,1011,145000000,Partnership
135000000,110000000,,132000000,Sole proprietorship
120000000,110000000,450,125000000,Incorporated company
85000000,70000000,140,125000000,Incorporated company
100000000,90000000,200,120000000,Partnership
3000000,2500000,5,120000000,Partnership
200000000,175000000,380,117000000,Incorporated company
,80000000,50,104000000,Non-profit
50000000,120000000,120,100000000,Incorporated company
225000000,100000000,,100000000,Partnership
100000000,56000000,200,100000000,Incorporated company
58000000,55000000,8000,100000000,Incorporated company
380000000,50000000,2000,100000000,Incorporated company
50000000,45000000,24,100000000,Incorporated company
50000000,30000000,65,100000000,Non-profit
5000000,10000000,200,100000000,Incorporated company
100000000,5000000,15,100000000,Partnership
100000000,5000000,14,100000000,Incorporated company
15000000,2400000,18,100000000,Incorporated company
40000000,74000000,248,94000000,Incorporated company
,,30,92000000,Non-profit
100000000,1500000,6,90000000,Incorporated company
,,,85000000,Incorporated company
400000000,300000000,350,80000000,Incorporated company
,2400000,10,80000000,Incorporated company
1000000,,5,80000000,Partnership
,,2000,80000000,Incorporated company
2500000,3000000,25,75000000,Incorporated company
65000000,65000000,200,65000000,Non-profit
55000000,50000000,125,62000000,Incorporated company
,25000000,110,60000000,Incorporated company
36000000,23000000,100,60000000,Incorporated company
10000000,20000000,300,60000000,Incorporated company
6000000,750000,5,60000000,Partnership
1500000,,1600,60000000,Partnership
9860000,8900000,245,58000000,Non-profit
350000000,,400,52000000,Incorporated company
2000000000,2000000000,90,50000000,Incorporated company
500000000,450000000,,50000000,Incorporated company
350000000,320000000,600,50000000,Incorporated company
250000000,225000000,350,50000000,Incorporated company
125000000,100000000,210,50000000,Incorporated company
60000000,100000000,,50000000,Incorporated company
80000000,75000000,400,50000000,Incorporated company
70000000,50000000,85,50000000,Partnership
1500000,50000000,7,50000000,Partnership
50000000,40000000,150,50000000,Incorporated company
35000000,30000000,135,50000000,Incorporated company
2000000,25000000,100,50000000,Incorporated company
30000000,24000000,200,50000000,Incorporated company
,24000000,200,50000000,Incorporated company
25000000,20000000,25,50000000,Incorporated company
10000000,20000000,,50000000,Incorporated company
,20000000,150,50000000,Incorporated company
17000000,15000000,280,50000000,Incorporated company
15000000,12000000,250,50000000,Incorporated company
3000000,3000000,15,50000000,Non-profit
2000000,2225000,18,50000000,Incorporated company
5000000,2000000,3,50000000,Partnership
1250000,1250000,8,50000000,Partnership
900000,1000000,20,50000000,Partnership
75000000,,240,50000000,Incorporated company
,,,50000000,Partnership
115000000,100000000,450,45000000,Incorporated company
40000000,30000000,500,45000000,Incorporated company
,15000000,210,45000000,Partnership
14000000,14000000,130,45000000,Non-profit
12000000,10000000,100,45000000,Incorporated company
300000000,260000000,17,40000000,Incorporated company
88000000,80000000,500,40000000,Incorporated company
33000000,11000000,430,40000000,Incorporated company
350000000,10000000,20,40000000,Partnership
4000000,10000000,45,40000000,Incorporated company
,6000000,40,40000000,Incorporated company
1200000,1000000,4,40000000,Partnership
1000000,700000,6,40000000,Partnership
,,35,40000000,Incorporated company
,50000000,,35000000,Incorporated company
,15000000,15,35000000,Incorporated company
2000000,1000000,,35000000,Partnership
500000,200000,7,35000000,Franchisee
,,100,35000000,Incorporated company
130000000,95000000,280,32000000,Incorporated company
20000000,15000000,120,32000000,Non-profit
650000,400000,4,30725000,Incorporated company
300000000,250000000,700,30000000,Incorporated company
135000000,113000000,,30000000,Incorporated company
100000000,100000000,125,30000000,Partnership
50000000,100000000,200,30000000,Incorporated company
55000000,58000000,250,30000000,Partnership
50000000,45000000,500,30000000,Incorporated company
60000000,40000000,50,30000000,Incorporated company
50000000,40000000,120,30000000,Incorporated company
36000000,35000000,,30000000,Partnership
32000000,32000000,120,30000000,Incorporated company
25000000,30000000,61,30000000,Incorporated company
40000000,25000000,100,30000000,Incorporated company
,25000000,50,30000000,Non-profit
30000000,20000000,55,30000000,Incorporated company
,20000000,75,30000000,Not reported
18000000,12000000,14,30000000,Partnership
1000000,600000,7,30000000,Non-profit
80000000,,40,30000000,Incorporated company
,,,30000000,Incorporated company
,,,30000000,Non-profit
11500000,10000000,45,29000000,Incorporated company
,30000000,4,27000000,Incorporated company
1000000,1000000,6,27000000,Partnership
105000000,75000000,500,25000000,Incorporated company
75000000,60000000,250,25000000,Incorporated company
165000000,53000000,155,25000000,Incorporated company
50000000,50000000,250,25000000,Partnership
30000000,45000000,150,25000000,Incorporated company
50000000,40000000,200,25000000,Incorporated company
40000000,37000000,2000,25000000,Incorporated company
30000000,30000000,10,25000000,Partnership
200000000,20000000,800,25000000,Incorporated company
25000000,20000000,25,25000000,Partnership
20000000,8000000,,25000000,Partnership
5000000,8000000,35,25000000,Incorporated company
20000000,2500000,,25000000,Sole proprietorship
2000000,2000000,6,25000000,Incorporated company
1300000,400000,7,25000000,Partnership
500000,150000,2,25000000,Incorporated company
,60000,1,25000000,Non-profit
30000,30000,50,25000000,Non-profit
20000000,,35,25000000,Incorporated company
,,25,25000000,Incorporated company
,,,25000000,Incorporated company
100000000,75000000,200,24000000,Partnership
12000000,16000000,58,24000000,Incorporated company
1000000,13000000,35,23000000,Incorporated company
1000000,6000000,150,23000000,Incorporated company
10000000,200000000,50,22000000,Incorporated company
50000000,40000000,450,22000000,Partnership
21000000,17000000,120,21000000,Non-profit
6000000,5000000,,21000000,Incorporated company
50000000,450000000,150,20000000,Partnership
225000000,220000000,500,20000000,Partnership
60000000,54000000,175,20000000,Incorporated company
50000000,48000000,12,20000000,Incorporated company
50000000,45000000,25,20000000,Incorporated company
40000000,40000000,400,20000000,Incorporated company
9000000,30600000,30,20000000,Incorporated company
30000000,28000000,,20000000,Incorporated company
1000000,20000000,6,20000000,Partnership
27000000,18000000,46,20000000,Non-profit
10000000,15000000,150,20000000,Incorporated company
