value,lat,lon,desc
16,36.7104912,-81.9751892,"Abingdon, VA"
3,37.7196999,-75.6698532,"Accomac, VA"
3,34.0654297,-84.6773987,"Acworth, GA"
2,32.9590683,-96.8357849,"Addison, TX"
11,38.0331192,-78.8391495,"Afton, VA"
2,33.5616417,-81.7221375,"Aiken, SC"
2,41.0841904,-81.514061,"Akron, OH"
1,37.7668304,-122.2453003,"Alameda, CA"
2,31.580759,-84.1560135,"Albany, GA"
6,42.6515503,-73.7552109,"Albany, NY"
2,38.0228882,-78.5565414,Albemarle
9,35.0841789,-106.6486435,"Albuquerque, NM"
1,38.9780006,-77.6503372,"Aldie, VA"
1,31.3126602,-92.4456787,"Alexandria, LA"
122,38.8045998,-77.0434113,"Alexandria, VA"
1,40.9198608,-74.8423767,"Allamuchy Township, NJ"
3,40.6026001,-75.4702606,"Allentown, PA"
1,40.5609207,-79.9592667,"Allison Park, PA"
6,34.0753708,-84.294548,"Alpharetta, GA"
1,37.109169,-79.2891617,"Altavista, VA"
3,40.5071907,-78.3989029,"Altoona, PA"
1,35.2072487,-101.8338928,"Amarillo, TX"
1,37.3359604,-77.976059,"Amelia, VA"
1,40.3778305,-111.7974777,"American Fork, UT"
1,42.025341,-93.6202011,"Ames, IA"
1,42.3752594,-72.5189514,"Amherst, MA"
1,37.5851707,-79.0520172,"Amherst, VA"
1,38.6812515,-78.0059814,"Amissville, VA"
1,33.8327599,-117.9157181,"Anaheim, CA"
1,61.2175598,-149.8583832,"Anchorage, AK"
1,42.6580696,-71.1419067,"Andover, MA"
8,42.2821007,-83.7484665,"Ann Arbor, MI"
10,38.8317909,-77.1952972,"Annandale, VA"
20,38.9766693,-76.4899597,"Annapolis, MD"
1,33.6571083,-85.8194504,"Anniston, AL"
1,38.1353607,-81.0979767,"Ansted, WV"
1,44.240799,-88.4085007,"Appleton, WI"
1,34.0570107,-80.9712906,"Arcadia Lakes, SC"
1,45.0791702,-93.1582565,"Arden Hills, MN"
1,40.0073395,-75.2899704,"Ardmore, PA"
2,42.0871811,-87.9804382,"Arlington Heights, IL"
2,42.4162903,-71.1567612,"Arlington, MA"
135,38.8786812,-77.1012421,"Arlington, VA"
1,41.1194115,-73.7083817,"Armonk, NY"
1,39.0318794,-76.5063477,"Arnold, MD"
1,39.8020287,-105.0878372,"Arvada, CO"
9,39.0516281,-77.4831467,"Ashburn, VA"
1,42.6778908,-71.8202209,"Ashby, MA"
10,35.5984612,-82.5531387,"Asheville, NC"
1,42.1996689,-122.7170334,"Ashland, OR"
1,37.7588501,-77.4793396,"Ashland, VA"
1,35.5984612,-82.5531387,"Asheville, NC"
2,39.1900215,-106.8181763,"Aspen, CO"
1,35.4886894,-120.6690598,"Atascadero, CA"
1,34.8045006,-86.971283,"Athens, AL"
12,33.9581299,-83.3732529,"Athens, GA"
1,42.2597084,-73.8092499,"Athens, NY"
203,33.7483101,-84.3911133,"Atlanta, GA"
1,39.3628082,-74.4265213,"Atlantic City, NJ"
1,38.8961983,-121.0788727,"Auburn, CA"
1,34.0188904,-83.8342819,"Auburn, GA"
1,47.3073997,-122.2304077,"Auburn, WA"
1,44.3631516,-69.6363907,"Augusta, ME"
1,39.7093201,-104.8145828,"Aurora, CO"
68,30.2675896,-97.7429886,"Austin, TX"
1,39.0949402,-74.7237701,"Avalon, NJ"
1,26.3365707,-81.4380722,"Ave Maria, FL"
1,42.1297913,-71.0391998,"Avon, MA"
2,36.6602097,-79.7116699,"Axton, VA"
1,37.7737999,-77.1117477,"Aylett, VA"
1,36.8261719,-107.9927063,"Aztec, NM"
1,47.6269302,-122.5210037,"Bainbridge Island, WA"
2,35.3669586,-119.0188599,"Bakersfield, CA"
1,40.0139351,-75.2324142,"Bala Cynwyd, PA"
1,42.9342308,-73.8594666,"Ballston Lake, NY"
