value,lat,lon,desc
675,38.0321312,-78.4775314,Charlottesville
415,37.540699,-77.4336472,Richmond
135,38.8786812,-77.1012421,Arlington
122,38.8045998,-77.0434113,Alexandria
129,38.8417892,-77.3088684,Fairfax
77,36.8468208,-76.2850571,Norfolk
73,36.7550201,-76.0591965,Virginia Beach
60,38.9365196,-77.1842804,McLean
58,37.2715187,-79.9405289,Roanoke
49,38.9596786,-77.354538,Reston
40,38.9696884,-77.3855515,Herndon
35,37.4140205,-79.1428375,Lynchburg
34,38.9003716,-77.263649,Vienna
31,38.4515305,-78.8690414,Harrisonburg
30,37.0828781,-76.4802322,Newport News
29,38.8854904,-77.1736221,Falls Church
24,39.1156693,-77.5653,Leesburg
24,38.3008919,-77.459137,Fredericksburg
20,37.2756004,-76.7097168,Williamsburg
17,38.7512207,-77.4711075,Manassas
16,39.1839981,-78.1640472,Winchester
16,38.8835983,-77.4397507,Chantilly
16,38.7790413,-77.1916504,Springfield
16,37.7854805,-79.4414673,Lexington
16,36.7142906,-76.2478409,Chesapeake
16,36.7104912,-81.9751892,Abingdon
14,39.0076828,-77.3928528,Sterling
14,38.6605911,-77.2478714,Woodbridge
14,38.1500092,-79.0727234,Staunton
14,37.0277901,-76.3451233,Hampton
12,38.0654716,-78.8909836,Waynesboro
11,38.2462807,-78.013443,Orange
11,38.0331192,-78.8391495,Afton
10,38.8317909,-77.1952972,Annandale
10,37.2262611,-80.4105835,Blacksburg
10,36.8326416,-76.2977066,Portsmouth
9,39.0516281,-77.4831467,Ashburn
9,38.7136192,-77.7955093,Warrenton
9,37.50354,-77.6512604,Midlothian
8,38.9175301,-78.1935196,Front Royal
8,38.8807793,-77.3013763,Oakton
8,38.6655197,-78.4593964,Luray
8,38.4137192,-78.2791977,Madison
8,37.6127014,-77.3784637,Mechanicsville
8,37.3785019,-77.585907,Chesterfield
8,36.5859795,-79.4171982,Danville
7,36.7311516,-76.5889511,Suffolk
6,38.9695015,-77.7365723,Middleburg
6,39.1366692,-77.7137604,Purcellville
6,38.9972305,-77.2883911,Great Falls
6,38.4733315,-77.9961395,Culpeper
6,37.2936516,-80.0531387,Salem
6,37.2281494,-77.4034805,Petersburg
6,36.6899605,-79.8688126,Martinsville
5,38.8124008,-77.6369324,Haymarket
5,38.0995903,-78.9701614,Fishersville
5,37.9782295,-77.9629898,Louisa
5,37.7635689,-78.8704605,Lovingston
7,37.5539894,-77.3455124,Henrico
5,37.3342781,-79.5229034,Bedford
4,39.0907211,-77.6357269,Loudoun
4,38.83741,-77.4432678,Centreville
4,38.7932281,-77.2722778,Burke
4,38.4228783,-77.4081726,Stafford
4,38.1413918,-78.1890564,Gordonsville
4,38.0234489,-78.3593903,Keswick
4,37.7219582,-77.9164124,Goochland
4,37.4012108,-76.5229721,Gloucester
4,36.6988602,-78.9013214,South Boston
3,38.8902092,-78.4984894,Woodstock
3,38.1539917,-78.4808884,Earlysville
3,38.0696487,-78.7006912,Crozet
3,37.8612099,-78.2636337,Palmyra
3,37.7601204,-77.4908829,Hanover
3,37.7196999,-75.6698532,Accomac
3,37.6713295,-77.6886826,Manakin Sabot
3,37.6653099,-77.5041504,Glen Allen
3,37.47435,-75.8590164,Nassawadox
3,37.3502502,-75.9385834,Eastville
3,37.2671318,-76.0170288,Cape Charles
3,37.2352715,-76.5121231,Yorktown
3,37.1487312,-82.4596481,Clintwood
3,37.1301384,-80.4084091,Christiansburg
3,36.9498405,-81.0835266,Wytheville
3,36.8829918,-76.2388611,Greenwood
2,38.8213615,-78.5624313,Edinburg
2,39.1513786,-77.9829102,Berryville
2,38.8621483,-77.7728577,The Plains
2,38.7957497,-77.6135406,Gainesville
2,39.055687,-77.4065704,Potomac Falls
2,38.8951492,-77.0744019,Rosslyn
2,38.7042809,-77.2068481,Lorton
2,38.6472397,-78.6721268,New Market
